Lat,Lon,Time Range,geartype,Vessel IDs,Apparent Fishing Hours
19.2,122.6,2021,drifting_longlines,1,1.01
15.6,119.3,2021,tuna_purse_seines,1,2.76
19.5,119,2021,drifting_longlines,1,1.03
8.8,123.3,2021,inconclusive,1,2.01
17.9,117.8,2021,drifting_longlines,1,1.53
14.4,120.6,2021,inconclusive,1,19.95
15.1,117.7,2021,fishing,1,41.69
21.5,123.3,2021,drifting_longlines,2,10.19
8,129.9,2021,drifting_longlines,1,6.62
18.9,119.9,2021,tuna_purse_seines,1,5.5
19.4,123.5,2021,drifting_longlines,1,0.35
19.7,122.5,2021,drifting_longlines,1,5.93
14.6,120.9,2021,tuna_purse_seines,3,59.17
19.9,122.4,2021,drifting_longlines,1,9.7
13.6,120.7,2021,inconclusive,1,2
14.1,120.6,2021,trawlers,2,28.56
21.1,122.5,2021,drifting_longlines,2,1.85
19.9,120.8,2021,inconclusive,1,6.79
17.7,119.9,2021,tuna_purse_seines,1,2.45
18.7,118.6,2021,inconclusive,1,1.03
13.2,120.4,2021,tuna_purse_seines,1,4.65
18.9,118.3,2021,drifting_longlines,1,1.04
19.4,119,2021,drifting_longlines,1,1.02
14.7,116.9,2021,inconclusive,1,5.3
20.9,122.5,2021,drifting_longlines,1,7.04
19.5,123,2021,drifting_longlines,1,3.62
20.2,123.5,2021,drifting_longlines,1,10.13
18.9,118.6,2021,inconclusive,1,1
15.7,116.8,2021,inconclusive,1,1.1
14.3,120,2021,tuna_purse_seines,1,8.07
20,120.7,2021,inconclusive,1,0.9
19,119.8,2021,tuna_purse_seines,1,7.3
21.7,123.8,2021,drifting_longlines,1,0.76
19.3,119.7,2021,tuna_purse_seines,1,0.25
13.6,121,2021,inconclusive,1,2.12
7.8,129.2,2021,drifting_longlines,1,10.58
21.4,122.8,2021,drifting_longlines,1,4.86
17.2,119,2021,tuna_purse_seines,1,4.03
19.8,122.4,2021,drifting_longlines,1,0.75
13.6,120.8,2021,inconclusive,1,2.01
19.5,122.5,2021,drifting_longlines,1,6.65
10,128.8,2021,drifting_longlines,1,0.29
13.5,121,2021,inconclusive,1,1.61
19.6,123.2,2021,drifting_longlines,1,9.14
10.7,128.7,2021,drifting_longlines,1,1.96
